incident_id,incident_type,location,timestamp,severity,asset,casualties,source,confidence
INC-0001,Vehicle Incident,Raiganj,2023-02-28 22:50:00,Low,Vehicle,0,SIGINT,
INC-0002,Fire,kolkata,2023-01-18 03:15:00,Medium,Server,1,Sensor,0.63
INC-0003,Unauthorized Access,Siliguri,2023-03-18 03:01:00,Critical,Server,0,HUMINT,0.89
INC-0004,Personnel Incident,Raiganj,2023-01-23 12:53:00,Low,Network Infrastructure,1,IMINT,0.66
INC-0005,Cyber Intrusion,Jalpaiguri,2023-01-10 00:39:00,Medium,Drone,0,IMINT,0.59
INC-0006,Fire,Asansol,2023-04-09 10:17:00,Medium,Vehicle,0,HUMINT,0.8
INC-0007,Physical Security Breach,Siliguri,2023-04-27 07:27:00,Low,Network Infrastructure,0,IMINT,0.43
INC-0008,Personnel Incident,Jalpaiguri,2023-02-07 11:50:00,Critical,Warehouse,0,Social Media,0.53
INC-0009,Physical Security Breach,Asansol,2023-06-18 02:34:00,Medium,Communication Tower,0,Social Media,0.65
INC-0010,Fire,Asansol,2023-02-14 10:28:00,Critical,Warehouse,1,HUMINT,0.86
INC-0011,Drone Sighting,Siliguri,2023-02-22 10:01:00,Critical,Communication Tower,0,Unknown,0.58
INC-0012,Vehicle Incident,Kolkata,2023-01-28 16:01:00,Low,Satellite,0,Social Media,0.59
INC-0013,Physical Security Breach,Cooch Behar,2023-06-09 09:01:00,High,Network Infrastructure,1,Sensor,0.77
INC-0014,Drone Sighting,Siliguri,2023-05-26 01:40:00,High,Personnel,0,Social Media,0.65
INC-0015,GPS Interference,Cooch Behar,2023-01-12 19:59:00,High,Network Infrastructure,1,OSINT,0.9
INC-0016,Data Breach,Cooch Behar,2023-05-30 15:02:00,Critical,Warehouse,0,Social Media,0.31
INC-0017,Communication Outage,Malda,2023-03-26 01:10:00,Low,Personnel,1,Sensor,0.62
INC-0018,Communication Outage,Cooch Behar,2023-05-20 20:27:00,Medium,Power Grid,0,ELINT,0.66
INC-0019,Drone Sighting,Darjeeling,2023-06-08 15:18:00,Critical,Power Grid,1,Social Media,0.57
INC-0020,Vehicle Incident,Jalpaiguri,2023-06-10 19:33:00,High,Power Grid,0,SIGINT,0.99
INC-0021,Unauthorized Access,Darjeeling,2023-05-05 06:51:00,Low,Communication Tower,1,CCTV,0.74
INC-0022,Cyber Intrusion,Kharagpur,2023-04-30 21:06:00,Medium,Drone,0,IMINT,0.53
INC-0023,Supply Disruption,Bardhaman,2023-01-27 12:28:00,High,Communication Tower,0,CCTV,0.9
INC-0024,Personnel Incident,Raiganj,2023-04-04 20:12:00,Low,Personnel,0,Unknown,0.65
INC-0025,Vehicle Incident,Haldia,2023-05-22 23:44:00,Critical,Power Grid,0,Internal Report,0.82
INC-0026,Cyber Intrusion,Durgapur,2023-04-26 11:15:00,Low,Database,0,CCTV,0.83
INC-0027,Fire,Kolkata,2023-01-21 00:17:00,Low,Server,0,Sensor,0.8
INC-0028,Physical Security Breach,Malda,2023-04-08 16:31:00,Low,Vehicle,1,HUMINT,0.91
INC-0029,Communication Outage,Raiganj,2023-04-22 18:54:00,High,Warehouse,0,CCTV,0.87
INC-0030,Drone Sighting,Kharagpur,2023-03-28 07:35:00,Critical,Personnel,0,HUMINT,0.77
INC-0031,Drone Sighting,Cooch Behar,2023-01-16 15:14:00,High,Drone,0,SIGINT,0.84
INC-0032,Supply Disruption,Kolkata,2023-05-06 23:38:00,Medium,Satellite,0,SIGINT,0.8
INC-0033,Cyber Intrusion,Jalpaiguri,2023-05-06 14:57:00,High,Vehicle,0,Internal Report,0.94
INC-0034,Physical Security Breach,Darjeeling,2023-02-17 12:49:00,High,Database,0,Internal Report,0.91
INC-0035,Physical Security Breach,Raiganj,2023-05-22 19:44:00,Medium,Network Infrastructure,0,Internal Report,0.96
INC-0036,Suspicious Activity,Durgapur,2023-06-29 07:12:00,Critical,Database,0,IMINT,0.49
INC-0037,GPS Interference,Kolkata,2023-03-31 16:59:00,Low,Drone,0,Sensor,0.77
INC-0038,Physical Security Breach,Kharagpur,2023-02-05 06:02:00,High,Warehouse,0,Unknown,0.24
INC-0039,Infrastructure Failure,Durgapur,2023-01-19 14:19:00,High,Database,1,IMINT,0.62
INC-0040,Cyber Intrusion,Kharagpur,2023-06-29 08:37:00,High,Vehicle,1,Unknown,0.62
INC-0041,Suspicious Activity,Cooch Behar,2023-01-22 19:52:00,Medium,Personnel,0,CCTV,0.96
INC-0042,Drone Sighting,Cooch Behar,2023-03-20 23:50:00,Critical,Personnel,0,Sensor,0.74
