incident_id,incident_type,location,timestamp,severity,asset,casualties,source,confidence,date,hour,day,month
INC-0001,Vehicle Incident,Raiganj,2023-02-28 22:50:00,Low,Vehicle,0,SIGINT,,2023-02-28,22,Tuesday,February
INC-0002,Fire,Kolkata,2023-01-18 03:15:00,Medium,Server,1,SENSOR,0.63,2023-01-18,3,Wednesday,January
INC-0003,Unauthorized Access,Siliguri,2023-03-18 03:01:00,Critical,Server,0,HUMINT,0.89,2023-03-18,3,Saturday,March
INC-0004,Personnel Incident,Raiganj,2023-01-23 12:53:00,Low,Network Infrastructure,1,IMINT,0.66,2023-01-23,12,Monday,January
INC-0005,Cyber Intrusion,Jalpaiguri,2023-01-10 00:39:00,Medium,Drone,0,IMINT,0.59,2023-01-10,0,Tuesday,January
INC-0006,Fire,Asansol,2023-04-09 10:17:00,Medium,Vehicle,0,HUMINT,0.8,2023-04-09,10,Sunday,April
INC-0007,Physical Security Breach,Siliguri,2023-04-27 07:27:00,Low,Network Infrastructure,0,IMINT,0.43,2023-04-27,7,Thursday,April
INC-0008,Personnel Incident,Jalpaiguri,2023-02-07 11:50:00,Critical,Warehouse,0,SOCIAL MEDIA,0.53,2023-02-07,11,Tuesday,February
INC-0009,Physical Security Breach,Asansol,2023-06-18 02:34:00,Medium,Communication Tower,0,SOCIAL MEDIA,0.65,2023-06-18,2,Sunday,June
INC-0010,Fire,Asansol,2023-02-14 10:28:00,Critical,Warehouse,1,HUMINT,0.86,2023-02-14,10,Tuesday,February
INC-0011,Drone Sighting,Siliguri,2023-02-22 10:01:00,Critical,Communication Tower,0,UNKNOWN,0.58,2023-02-22,10,Wednesday,February
INC-0012,Vehicle Incident,Kolkata,2023-01-28 16:01:00,Low,Satellite,0,SOCIAL MEDIA,0.59,2023-01-28,16,Saturday,January
INC-0013,Physical Security Breach,Cooch Behar,2023-06-09 09:01:00,High,Network Infrastructure,1,SENSOR,0.77,2023-06-09,9,Friday,June
INC-0014,Drone Sighting,Siliguri,2023-05-26 01:40:00,High,Personnel,0,SOCIAL MEDIA,0.65,2023-05-26,1,Friday,May
INC-0015,GPS Interference,Cooch Behar,2023-01-12 19:59:00,High,Network Infrastructure,1,OSINT,0.9,2023-01-12,19,Thursday,January
INC-0016,Data Breach,Cooch Behar,2023-05-30 15:02:00,Critical,Warehouse,0,SOCIAL MEDIA,0.31,2023-05-30,15,Tuesday,May
INC-0017,Communication Outage,Malda,2023-03-26 01:10:00,Low,Personnel,1,SENSOR,0.62,2023-03-26,1,Sunday,March
